id,tgt_1,int_rate,num_tl_90g_dpd_24m,emp_length,dti,home_ownership,loan_amnt,LOR,FICO_Change,annual_inc,Occupation_group,product_group,loc_group,Occupation,product,location
10123630,0,12.59,0,2 years,32.49,MORTGAGE,24000,131,-55,84000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ26,Prod3,loc240
11686547,0,7.26,0,4 years,28.8,MORTGAGE,8000,209,100,85000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ9,Prod2,loc168
20068305,0,9.17,0,10+ years,8.56,MORTGAGE,6000,208,-20,60000,low_tgt_occ,low_tgt_prd,med_tgt_loc,Occ33,Prod3,loc90
21120613,0,17.57,1,3 years,24.72,MORTGAGE,15000,95,80,50000,medium_tgt_occ,low_tgt_prd,low_tgt_loc,Occ15,Prod3,loc544
23905569,0,9.17,0,10+ years,23.77,RENT,12600,286,25,36000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ5,Prod2,loc720
24514879,0,13.67,0,6 years,24.77,RENT,30000,152,170,78000,medium_tgt_occ,low_tgt_prd,low_tgt_loc,Occ13,Prod3,loc499
25467107,0,15.41,0,1 year,8.55,RENT,4000,86,0,17000,medium_tgt_occ,low_tgt_prd,low_tgt_loc,Occ10,Prod3,loc294
38447056,0,17.57,0,10+ years,15.38,MORTGAGE,35000,223,0,98000,high_tgt_occ,low_tgt_prd,low_tgt_loc,Occ39,Prod3,loc255
39602678,0,15.41,0,10+ years,22.78,MORTGAGE,32000,189,110,90000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ33,Prod3,loc104
41051455,0,15.41,0,8 years,26.87,MORTGAGE,12000,142,65,42000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ5,Prod2,loc766
46847586,0,11.99,0,2 years,13.28,OWN,28800,130,-115,65000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ33,Prod2,loc88
49227837,0,16.99,0,3 years,18.14,MORTGAGE,18000,166,75,93000,low_tgt_occ,low_tgt_prd,high_tgt_loc,Occ2,Prod3,loc309
50133612,0,13.67,0,3 years,26.45,OWN,24000,65,130,85000,medium_tgt_occ,med_tg_prd,high_tgt_loc,Occ42,Prod4,loc614
54313445,0,13.18,0,4 years,20.24,OWN,27000,261,5,105000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ35,Prod2,loc605
60055642,0,13.67,0,10+ years,30.86,OWN,10000,108,180,38433,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ28,Prod2,loc568
63219736,0,16.55,2,10+ years,6,MORTGAGE,3600,171,140,50000,low_tgt_occ,med_tg_prd,low_tgt_loc,Occ35,Prod7,loc599
63291257,0,11.22,0,< 1 year,19.9,OWN,15000,110,65,45000,medium_tgt_occ,low_tgt_prd,low_tgt_loc,Occ10,Prod3,loc288
64360310,0,11.99,0,10+ years,15.06,RENT,12600,164,-50,104000,medium_tgt_occ,low_tgt_prd,med_tgt_loc,Occ10,Prod3,loc287
65087265,0,6.89,0,10+ years,22.84,MORTGAGE,28000,265,-40,115000,medium_tgt_occ,low_tgt_prd,med_tgt_loc,Occ34,Prod3,loc370
65262873,0,15.41,0,10+ years,7.4,MORTGAGE,14000,181,110,121000,high_tgt_occ,low_tgt_prd,low_tgt_loc,Occ39,Prod3,loc255
65272412,0,13.18,0,1 year,15.9,MORTGAGE,12000,145,45,68000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ19,Prod3,loc174
65273080,0,15.41,0,3 years,13.99,RENT,11500,178,-95,32000,medium_tgt_occ,low_tgt_prd,med_tgt_loc,Occ13,Prod2,loc496
65283749,0,8.38,0,3 years,33.9,MORTGAGE,11200,337,65,89000,medium_tgt_occ,low_tgt_prd,low_tgt_loc,Occ42,Prod3,loc612
65294339,0,10.64,0,8 years,24.23,MORTGAGE,5200,362,70,38000,medium_tgt_occ,low_tgt_prd,low_tgt_loc,Occ11,Prod3,loc257
65294758,0,10.64,0,10+ years,18.73,MORTGAGE,12000,313,155,145000,medium_tgt_occ,low_tgt_prd,low_tgt_loc,Occ18,Prod3,loc11
65303643,0,20.99,0,10+ years,22.42,MORTGAGE,35000,234,165,92000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ26,Prod3,loc230
65305175,0,11.99,0,10+ years,24.82,MORTGAGE,35000,154,-35,91000,medium_tgt_occ,low_tgt_prd,low_tgt_loc,Occ18,Prod3,loc1
65334570,0,9.17,0,8 years,15.63,RENT,6000,158,0,43000,medium_tgt_occ,low_tgt_prd,med_tgt_loc,Occ13,Prod2,loc496
65334722,0,11.99,0,5 years,26.59,MORTGAGE,16000,152,-25,53000,medium_tgt_occ,med_tg_prd,low_tgt_loc,Occ10,Prod4,loc289
65364556,0,6.89,0,10+ years,34.69,MORTGAGE,20000,158,-5,150000,medium_tgt_occ,low_tgt_prd,low_tgt_loc,Occ11,Prod2,loc275
65364803,0,7.89,0,1 year,22.79,RENT,6500,330,-65,70663,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ6,Prod2,loc663
65374714,0,5.32,0,10+ years,21.22,MORTGAGE,22400,208,25,110000,medium_tgt_occ,low_tgt_prd,low_tgt_loc,Occ15,Prod2,loc546
65384730,0,9.76,0,7 years,14.01,RENT,9500,111,0,51500,low_tgt_occ,med_tg_prd,low_tgt_loc,Occ47,Prod7,loc441
65403865,0,10.64,0,N/A,15.42,OWN,8400,105,180,47093,medium_tgt_occ,low_tgt_prd,low_tgt_loc,Occ37,Prod2,loc154
65404893,0,11.22,0,N/A,28.2,MORTGAGE,10000,172,110,80000,low_tgt_occ,high_tgt_prd,low_tgt_loc,Occ23,Prod9,loc529
65433125,0,10.64,0,1 year,19.36,MORTGAGE,6000,147,160,51000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ2,Prod3,loc317
65464547,0,8.38,0,< 1 year,22.83,MORTGAGE,12000,159,-90,75000,medium_tgt_occ,low_tgt_prd,low_tgt_loc,Occ18,Prod2,loc8
65494038,0,11.22,0,3 years,12.98,RENT,21000,165,5,65000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ6,Prod3,loc660
65512853,0,11.22,0,7 years,26.69,MORTGAGE,8000,224,-20,66000,low_tgt_occ,med_tg_prd,low_tgt_loc,Occ1,Prod4,loc799
65514213,0,9.17,0,N/A,29.64,MORTGAGE,16800,321,5,80000,medium_tgt_occ,low_tgt_prd,med_tgt_loc,Occ4,Prod3,loc692
65514935,0,7.89,0,10+ years,6.27,OWN,6000,317,110,58000,medium_tgt_occ,low_tgt_prd,low_tgt_loc,Occ10,Prod2,loc298
65515127,0,6.24,0,10+ years,16.58,RENT,19200,463,10,100000,low_tgt_occ,med_tg_prd,low_tgt_loc,Occ33,Prod7,loc79
65552708,0,13.67,0,2 years,13.25,MORTGAGE,18000,67,40,53000,medium_tgt_occ,low_tgt_prd,low_tgt_loc,Occ34,Prod2,loc393
65591640,1,11.22,0,10+ years,28.67,OWN,8000,157,20,74000,high_tgt_occ,low_tgt_prd,high_tgt_loc,Occ39,Prod2,loc252
65593127,0,14.48,0,3 years,30.72,RENT,16000,133,-30,55000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ5,Prod2,loc747
65595324,0,9.76,0,N/A,21.02,MORTGAGE,10000,183,95,58000,medium_tgt_occ,low_tgt_prd,low_tgt_loc,Occ34,Prod3,loc391
65596257,0,11.99,0,5 years,9.19,RENT,4000,126,85,50000,medium_tgt_occ,low_tgt_prd,low_tgt_loc,Occ4,Prod3,loc690
65601622,0,9.17,0,5 years,14.78,RENT,24000,308,10,150000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ33,Prod3,loc81
65601678,0,18.49,0,< 1 year,6.24,RENT,12000,325,130,115000,low_tgt_occ,high_tgt_prd,low_tgt_loc,Occ35,Prod9,loc610
65602741,0,7.26,0,2 years,18.7,MORTGAGE,10800,128,0,60000,medium_tgt_occ,low_tgt_prd,high_tgt_loc,Occ17,Prod3,loc579
65603733,0,13.18,0,3 years,15.3,RENT,5400,169,-20,60000,medium_tgt_occ,low_tgt_prd,high_tgt_loc,Occ10,Prod3,loc290
65604083,0,13.67,0,10+ years,30.31,MORTGAGE,25000,218,-40,70000,medium_tgt_occ,low_tgt_prd,low_tgt_loc,Occ37,Prod3,loc135
65605014,0,12.59,0,3 years,23.41,RENT,25000,176,-120,65000,medium_tgt_occ,low_tgt_prd,med_tgt_loc,Occ4,Prod2,loc692
65605810,0,7.89,0,1 year,27.29,RENT,12000,140,75,74000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ22,Prod6,loc456
65606979,0,6.24,0,10+ years,15.72,RENT,12000,274,-45,30000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ26,Prod3,loc240
65607710,0,11.99,1,< 1 year,12.92,RENT,16800,229,20,55000,medium_tgt_occ,low_tgt_prd,med_tgt_loc,Occ10,Prod3,loc287
65611685,0,17.86,0,1 year,26.25,MORTGAGE,35000,126,100,95000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ29,Prod3,loc21
65611911,0,11.22,0,10+ years,9.44,MORTGAGE,22400,282,-5,80000,medium_tgt_occ,low_tgt_prd,med_tgt_loc,Occ30,Prod3,loc54
65614451,0,20.99,0,6 years,13.61,OWN,28600,163,65,65000,medium_tgt_occ,high_tgt_prd,low_tgt_loc,Occ34,Prod9,loc379
65614616,0,9.76,0,3 years,12.26,MORTGAGE,12000,281,-30,60000,low_tgt_occ,low_tgt_prd,high_tgt_loc,Occ5,Prod3,loc740
65614885,0,13.67,0,7 years,11.98,MORTGAGE,24000,214,-35,120000,high_tgt_occ,low_tgt_prd,low_tgt_loc,Occ21,Prod6,loc420
65614938,0,7.89,0,10+ years,13.38,MORTGAGE,18000,195,20,97500,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ5,Prod2,loc769
65615789,0,12.59,0,< 1 year,16.03,OWN,15000,188,-45,100000,low_tgt_occ,high_tgt_prd,low_tgt_loc,Occ7,Prod9,loc48
65616112,0,5.32,0,5 years,13.16,RENT,15000,300,20,102000,high_tgt_occ,low_tgt_prd,low_tgt_loc,Occ31,Prod2,loc707
65616975,0,7.26,0,10+ years,23.59,MORTGAGE,18000,279,5,82500,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ26,Prod2,loc231
