current_delinquency_status,ever_30_plus_dpd_in_last_12m,casa_balance_to_emi_ratio_6m,customer_age,salary_to_emi,num_loans_all_product_category,length_of_relationship,max_delinquency_in_last_6m,outstanding_amt_to_gross_amt,family_size,years_of_service,event,casa_balance_to_emi_ratio_6m_g,customer_age_g,salary_to_emi_g,num_loans_all_product_category_g,length_of_relationship_g,outstanding_amt_to_gross_amt_g,family_size_g,years_of_service_g
Delinquent,No,0.136021114,26,10.91938867,1,143.8976543,0,0.364907296,0,28,1,0-0.15,25-27,4.94+,1,1,0.35429-0.37779,0,23+
Delinquent,No,0.019019843,20,4.029207331,3,75.10457771,0,2.695121025,3,30,1,0-0.15,18-24,2.59-4.94,3,3,>0.78095,>1,23+
Delinquent,Yes,0.357184683,28,5.97053164,4,135.6210874,0,0.775590742,10,19,1,0.31-0.49,28-29,4.94+,4-5,4,0.37779-0.78095,>1,18-22
Delinquent,No,0.950978821,28,11.77095475,15,115.2779511,>0,0.111835321,1,9,1,0.74-1.11,28-29,4.94+,6+,15,<0.35429,1,6-11
Delinquent,Yes,24.19597102,49,5.239982241,2,55.46168351,0,0.372090372,1,1,1,14.26+,43+,4.94+,2,2,0.35429-0.37779,1,1-5
Delinquent,No,18.98807694,33,3.124798762,2,107.0434012,>0,0.513902819,1,24,1,14.26+,32-33,2.59-4.94,2,2,0.37779-0.78095,1,23+
Delinquent,No,0.098778559,19,3.66724728,2,115.5389348,0,0.398586429,9,2,1,0-0.15,18-24,2.59-4.94,2,2,0.37779-0.78095,>1,1-5
Delinquent,No,0.02863009,26,10.4348853,5,80.27676294,0,0.271427881,10,12,1,0-0.15,25-27,4.94+,4-5,5,<0.35429,>1,12-17
Delinquent,No,17.48653361,38,0.63545118,3,80.20645604,>0,0.074711492,1,1,1,14.26+,37-38,0-2.59,3,3,<0.35429,1,1-5
Not Delinquent,Yes,0.008901841,27,12.92206286,1,157.1482228,>0,0.242462719,1,21,1,0-0.15,25-27,4.94+,1,1,<0.35429,1,18-22
Delinquent,No,4.687108195,36,8.496777511,4,69.79104072,>0,0.307325853,2,9,1,2.9-5.57,34-36,4.94+,4-5,4,<0.35429,>1,6-11
Not Delinquent,Yes,1.632240056,22,2.441574527,4,139.7126318,>0,7.241896625,1,7,1,1.11-1.73,18-24,0-2.59,4-5,4,>0.78095,1,6-11
Delinquent,Yes,17.42508623,35,14.35466197,5,148.4846519,0,0.367175171,5,8,1,14.26+,34-36,4.94+,4-5,5,0.35429-0.37779,>1,6-11
Delinquent,No,0.137552449,32,3.89758592,7,73.41627878,0,0.182414868,9,14,1,0-0.15,32-33,2.59-4.94,6+,7,<0.35429,>1,12-17
Delinquent,Yes,0.497000941,19,2.51842222,2,158.153368,0,0.057538182,2,7,1,0.49-0.74,18-24,0-2.59,2,2,<0.35429,>1,6-11
Delinquent,No,5.154597911,26,10.93793688,2,24.46434473,0,10.67306634,1,7,1,2.9-5.57,25-27,4.94+,2,2,>0.78095,1,6-11
Delinquent,Yes,22.6836798,34,2.633243047,2,155.6113641,0,0.094433523,7,19,1,14.26+,34-36,2.59-4.94,2,2,<0.35429,>1,18-22
Delinquent,No,2.318387636,40,4.45664646,4,14.20057914,0,8.616399021,4,4,1,1.73-2.9,39-42,2.59-4.94,4-5,4,>0.78095,>1,1-5
Delinquent,No,0.34492291,26,1.71812609,3,58.58529935,0,0.516183836,10,21,1,0.31-0.49,25-27,0-2.59,3,3,0.37779-0.78095,>1,18-22
Delinquent,No,4.96294587,30,1.363189854,1,66.55254535,0,8.905743682,2,8,1,2.9-5.57,30-31,0-2.59,1,1,>0.78095,>1,6-11
Delinquent,No,4.234134389,20,3.234805446,7,54.12198339,0,9.835474849,4,14,1,2.9-5.57,18-24,2.59-4.94,6+,7,>0.78095,>1,12-17
Delinquent,Yes,9.010888593,33,3.44135099,2,142.5345727,0,9.386908011,2,24,1,5.57-14.26,32-33,2.59-4.94,2,2,>0.78095,>1,23+
Delinquent,No,0.017502817,48,3.081764247,5,108.2596245,>0,0.136048744,10,27,1,0-0.15,43+,2.59-4.94,4-5,5,<0.35429,>1,23+
Delinquent,No,0.013249528,29,2.274967542,1,86.3565238,0,0.004604508,9,14,1,0-0.15,28-29,0-2.59,1,1,<0.35429,>1,12-17
Delinquent,No,5.51388639,30,2.825428535,3,159.6948808,>0,0.522492398,5,9,1,2.9-5.57,30-31,2.59-4.94,3,3,0.37779-0.78095,>1,6-11
Delinquent,No,0.408066914,51,4.309423565,2,34.96498112,0,2.106671226,1,2,1,0.31-0.49,43+,2.59-4.94,2,2,>0.78095,1,1-5
Delinquent,No,0.713210683,31,5.13525989,4,40.13133783,0,3.834340581,1,6,1,0.49-0.74,30-31,4.94+,4-5,4,>0.78095,1,6-11
Delinquent,Yes,0.089361842,35,1.792231858,4,151.0692118,0,0.489827978,1,2,1,0-0.15,34-36,0-2.59,4-5,4,0.37779-0.78095,1,1-5
Delinquent,No,0.259216351,30,2.526799957,1,13.82107562,0,0.294527417,9,30,1,0.15-0.31,30-31,0-2.59,1,1,<0.35429,>1,23+
Delinquent,No,5.970826508,27,4.020253052,5,84.80659452,0,4.598729959,1,10,1,5.57-14.26,25-27,2.59-4.94,4-5,5,>0.78095,1,6-11
Delinquent,No,0.897722052,21,0.513254523,4,24.94044781,0,0.334739773,2,21,1,0.74-1.11,18-24,0-2.59,4-5,4,<0.35429,>1,18-22
Not Delinquent,Yes,8.063075716,27,11.63910966,4,53.14511698,>0,4.318235283,1,15,1,5.57-14.26,25-27,4.94+,4-5,4,>0.78095,1,12-17
Not Delinquent,Yes,0.048196338,36,0.560007762,1,7.661574694,>0,6.657953218,1,22,1,0-0.15,34-36,0-2.59,1,1,>0.78095,1,18-22
Delinquent,No,0.176572739,40,6.603067274,2,5.433654869,>0,0.742773906,8,7,1,0.15-0.31,39-42,4.94+,2,2,0.37779-0.78095,>1,6-11
Delinquent,No,0.06672037,31,2.889378599,5,28.98954041,>0,0.588707967,6,4,1,0-0.15,30-31,2.59-4.94,4-5,5,0.37779-0.78095,>1,1-5
