S_NUM,account_type,age,customer_relation_time_months,avg_time_cr_tx_60_days,total_cr_amt_30_days,num_unq_rx_90_days,ratio_cr_30to90_days,education,income,num_cards,Target_IBAN_Dig_acc,fraud_flag
1,individual,29,3,22,88842,3,0.288216066,High School,741,1,Y,1
2,individual,35,9,0,10355,1,0.034765194,High School,7967,1,Y,1
3,individual,32,17,0,133947,6,0.683445519,Graduate,26599,1,Y,1
4,govt,25,4,1,37757,0,0.922858591,High School,1605,1,Y,1
5,individual,17,27,0,48566,6,0.42087214,Post Graduate,947,1,Y,1
6,govt,32,12,0,53271,1,0.714037933,Graduate,3405,1,Y,1
7,individual,18,10,13,25433,2,0.98507706,Graduate,2659,1,Y,1
8,individual,18,9,0,11677,4,0.446793876,Graduate,2419,1,Y,1
9,companies,23,9,8,14427,2,0.328480373,Graduate,4179,1,Y,1
10,companies,22,16,3,32294,1,0.958499737,High School,61353,1,Y,1
11,individual,33,31,0,26151,5,0.481683924,High School,2442,1,Y,1
12,companies,48,7,5,70984,2,0.953620668,Graduate,38365,1,Y,1
13,individual,53,5,16,21788,1,0.90608772,Graduate,22155,1,Y,1
14,companies,30,169,0,56105,4,0.998663007,Graduate,15340,1,Y,1
15,individual,25,9,0,31956,4,0.904656103,High School,3413,1,Y,1
16,companies,22,26,18,774722,4,0.979610027,Graduate,22179,1,Y,1
17,individual,17,3,10,44469,4,0.975536689,Post Graduate,77953,1,Y,1
18,companies,46,181,3,11438,0,0.950600377,Post Graduate,43601,1,Y,1
19,companies,52,10,12,19384,1,0.200796827,High School,223,1,Y,1
20,individual,78,77,2,7695,1,0.995716886,High School,86306,1,Y,1
21,companies,16,67,0,177851,6,0.948914091,Post Graduate,497,1,Y,1
22,individual,20,9,0,32581,13,0.945883006,Graduate,4788,1,Y,1
23,individual,34,1,0,51327,3,0.960036271,High School,3407,1,Y,1
24,individual,16,0,7,252601,0,0.819405704,High School,15595,1,Y,1
25,individual,28,2,46,146252,5,0.981018238,High School,90164,1,Y,1
26,individual,33,186,0,19358,4,0.561158353,High School,7913,1,Y,1
