id,Debt_to_Income_Ratio,Hard_Inquiries,Missed_Payments,Total_Outstanding_Debt,Loan_Deferrals,Early_Warning_Event,Change_in_FICO_Score,annual_inc,LOR,home_ownership,Age,Change_in_Employment_Status,Significant_Drop_in_Savings
60346284,80.14732049,1,0,65930.19484,0,1,-56,55000,50,RENT,23,0,500.7360834
66026835,69.09271688,2,1,63089.50646,0,1,0,45000,206,RENT,39,1,3422.083285
66036470,43.69016406,3,1,64845.88221,1,1,-36,42000,81,RENT,37,1,541.1684462
66370307,37.33711512,3,1,48464.87175,2,1,-11,90000,88,MORTGAGE,45,1,496.834722
66441692,60.95654722,2,1,74565.80094,2,1,-75,105800,123,MORTGAGE,30,1,334.8010996
66446136,64.79463613,1,1,52959.24631,2,1,-34,60000,221,OWN,32,1,4096.248437
66501100,60.46614565,3,1,42338.06854,2,1,2,70000,136,RENT,46,1,1135.137569
66533072,44.44012506,2,1,70167.95005,2,1,-4,24000,114,RENT,30,0,4784.340563
66550239,57.57688149,2,1,72406.77552,2,1,-41,96000,134,RENT,46,1,2865.198768
66622996,60.08221919,2,0,65756.82038,2,1,19,128000,258,MORTGAGE,39,1,2022.654251
66625192,54.53972463,3,1,76097.40868,0,1,-58,60000,109,RENT,35,0,4178.448926
66630412,54.37183231,1,1,46718.36876,2,1,-53,144000,454,OWN,24,1,1298.591552
67205474,53.9788685,3,1,53184.65276,0,1,-78,150000,173,MORTGAGE,22,1,33.57831472
67216542,47.03209324,1,2,60264.20319,2,1,-43,36000,156,RENT,27,1,626.8955144
67216660,44.54389316,3,0,72250.85128,2,1,-38,101000,309,RENT,45,0,7274.009635
67235612,60.45506239,3,1,54777.27091,1,1,37,71000,273,MORTGAGE,48,1,105.5950799
67236200,69.12093386,2,1,52513.94785,1,1,-11,105000,184,MORTGAGE,50,0,1225.012005
67237821,47.37658355,3,1,57646.41624,2,1,7,40000,252,RENT,40,1,123.0437632
67247536,41.81457324,2,1,94278.70705,2,1,-13,42200,65,RENT,18,1,224.6248609
67257066,50.12006018,3,0,61553.98792,2,1,-22,30000,52,RENT,31,1,114.0205543
67297881,29.98031027,3,3,57629.09159,2,1,-1,110000,142,RENT,40,0,6671.647637
67316608,53.63077305,3,0,42448.99828,2,1,-55,170000,70,MORTGAGE,22,0,2953.597059
67318596,59.54379735,3,2,51362.99161,0,1,-7,51000,218,RENT,57,0,2819.086855
67338637,73.80869638,3,0,63881.1265,1,1,-60,68000,180,RENT,45,1,874.5509121
67345848,40.09150563,2,1,77726.06603,2,1,-17,85000,180,OWN,28,0,6593.218065
67365429,54.41384134,3,0,51574.37802,2,1,16,120000,143,MORTGAGE,29,1,816.5058464
67378224,48.9172084,3,1,56475.64479,2,1,-21,190000,349,MORTGAGE,38,0,7340.86298
67398498,69.88438964,3,1,56364.94696,1,1,-10,65000,160,MORTGAGE,44,0,5985.903809
67426579,49.41427379,3,0,53119.76334,2,1,-12,75000,116,OWN,18,1,3576.051439
67465205,68.43643932,2,1,69054.71947,0,1,24,80000,181,MORTGAGE,22,0,11574.3205
67526081,37.99956548,1,2,84025.70947,2,1,-28,75000,487,OWN,34,1,1954.195614
67545746,57.58838934,3,0,66000.40278,1,1,-51,57500,191,OWN,20,0,1787.601768
67565565,81.3342405,2,2,63809.85291,0,1,-76,150000,310,MORTGAGE,27,0,1415.849997
67575741,37.36665774,3,0,59472.26346,2,1,-19,80000,161,MORTGAGE,55,1,645.4986862
67575785,61.61490898,2,1,61642.50277,2,1,-56,37000,106,RENT,31,0,2411.760157
67585906,49.14679825,3,2,66654.9771,0,1,-15,108000,266,RENT,35,1,2737.8132
67585923,65.77252419,2,0,53830.135,2,1,-38,150000,248,MORTGAGE,56,1,5904.066792
67615575,47.71332842,3,0,71211.32503,1,1,-24,88000,237,MORTGAGE,38,1,11600.93456
67635672,75.01009462,3,0,34319.06494,1,1,-16,44000,107,RENT,39,1,2063.323233
67735413,66.78969467,1,0,62367.16339,2,1,-37,38393,276,MORTGAGE,33,1,1128.481091
67755446,57.24359543,3,0,57102.79948,2,1,-24,95000,201,MORTGAGE,49,1,5343.21654
67788858,62.73568756,3,2,57065.47412,0,1,66,62000,145,RENT,50,1,6230.493951
67789567,65.94625322,1,1,40593.65846,2,1,-13,16000,200,MORTGAGE,47,1,7511.549479
67798731,20.24783509,3,3,64348.14331,1,1,7,48000,112,RENT,41,1,326.8314198
67799002,54.21148901,1,3,67483.86703,0,1,-33,94000,339,OWN,22,0,174.8534615
67799691,57.54859263,3,1,69831.28314,0,1,13,69000,202,MORTGAGE,20,0,3714.971232
67799845,25.07684502,1,3,77181.93641,1,1,-5,4000,424,MORTGAGE,59,1,3138.372516
67809052,60.667846,2,1,37427.72069,2,1,-7,60000,135,RENT,47,1,2217.539884
67809689,70.27228462,3,1,49377.70787,2,1,-13,60000,164,MORTGAGE,51,1,2204.274234
67809731,64.89173235,3,0,61582.30778,2,1,-17,35000,75,RENT,52,1,6628.049834
67810283,13.66266134,3,3,85290.72733,1,1,-20,94000,211,RENT,31,1,3095.440541
67818953,52.52706324,3,0,77461.79719,2,1,-65,58000,230,MORTGAGE,57,1,3469.17404
67819256,65.20465349,1,2,64258.86833,2,1,28,60000,101,MORTGAGE,42,1,3845.490121
67819450,58.44102973,3,0,72227.66043,0,1,-76,16678.9,671,MORTGAGE,28,0,80.42448064
67819802,57.91007162,2,0,69437.67263,2,1,32,96500,225,OWN,52,1,3537.13665
67820060,74.19448037,3,1,48083.25107,0,1,-45,89000,16,MORTGAGE,41,0,3188.028442
67829299,60.68938945,1,1,56117.1117,2,1,12,80000,128,MORTGAGE,24,0,5764.596385
67839146,44.68521937,3,2,51363.59596,0,1,18,52000,351,OWN,45,1,2574.598737
67839341,59.24717736,3,1,64448.804,0,1,20,41000,184,MORTGAGE,29,1,1254.369184
67839365,66.18131445,2,0,64043.37189,1,1,-18,98000,153,MORTGAGE,45,1,3862.969393
67848347,61.84913265,2,0,82055.91312,2,1,-28,35000,115,RENT,25,1,3087.079205
67849608,58.73590602,3,2,50182.30322,0,1,-49,52000,168,MORTGAGE,18,1,706.7970268
67858891,44.57419178,2,0,74312.3798,2,1,-18,54000,122,RENT,36,1,4170.722172
67859074,65.39070557,2,0,51724.61952,2,1,-13,150000,30,MORTGAGE,29,0,530.1923424
67859111,38.42155833,3,3,80140.43499,0,1,-29,48500,146,RENT,38,1,3744.297474
67859381,21.21450647,2,1,103040.7211,2,1,12,17000,176,RENT,49,1,107.3171247
67860077,44.7971713,3,1,38455.67371,1,1,4,60000,118,RENT,50,1,579.2257861
67860084,58.88845645,3,1,47711.64941,2,1,-18,129000,284,MORTGAGE,27,1,909.7632855
67868656,47.32991646,3,2,61871.73784,0,1,-51,48000,128,RENT,18,0,2919.758144
67869592,55.24445879,3,0,78669.28493,0,1,7,60000,131,MORTGAGE,44,1,675.4151295
67869791,36.56360563,3,2,67727.4399,2,1,-75,110000,160,RENT,38,1,1849.330798
67879063,38.54811454,3,0,87470.72916,2,1,-26,187920,235,MORTGAGE,51,1,1499.108119
67879685,54.91198285,3,2,55969.20916,2,1,20,29500,109,RENT,35,0,1180.246709
67889326,37.92659919,3,2,44434.53546,2,1,-4,88476,295,MORTGAGE,27,0,2829.057254
67889844,81.9732814,2,0,60244.36335,1,1,-21,120000,220,RENT,21,0,2404.113873
67890468,79.48058166,1,0,68135.75271,2,1,-46,49000,213,MORTGAGE,20,1,2125.831347
67899288,36.0445842,2,1,82307.03879,2,1,-83,51300,193,MORTGAGE,32,1,838.6475378
67899553,66.4582652,3,0,77739.44421,0,1,-29,45000,152,MORTGAGE,42,0,2102.901209
67899591,79.45363709,3,1,40464.41698,1,1,-19,40000,177,MORTGAGE,68,0,5128.583061
67909028,59.61039828,1,3,55415.28932,1,1,25,77000,126,MORTGAGE,41,1,5038.490356
67909153,42.11069715,0,2,65015.09348,2,1,-12,52575,113,RENT,29,0,3549.83483
67909588,47.74340144,3,0,40600.12824,2,1,6,76000,25,MORTGAGE,45,1,5037.53507
67909895,58.40364555,2,0,72001.04349,2,1,41,70000,400,MORTGAGE,52,1,10873.10138
